patient_name,fits_21_channel_set,n_missing_unique_items,missing_items
chb01,False,1,T8-P8
chb02,False,1,T8-P8
chb03,False,1,T8-P8
chb04,False,1,T8-P8
chb05,False,1,T8-P8
chb06,False,1,T8-P8
chb07,False,1,T8-P8
chb08,False,1,T8-P8
chb09,False,1,T8-P8
chb10,False,1,T8-P8
chb11,False,1,T8-P8
chb13,False,4,"FT9-FT10, P7-T7, T7-FT9, T8-P8"
chb14,False,1,T8-P8
chb15,False,4,"FT9-FT10, P7-T7, T7-FT9, T8-P8"
chb16,False,4,"FT9-FT10, P7-T7, T7-FT9, T8-P8"
chb17,False,4,"FT9-FT10, P7-T7, T7-FT9, T8-P8"
chb19,False,4,"FT9-FT10, P7-T7, T7-FT9, T8-P8"
chb20,False,1,T8-P8
chb21,False,1,T8-P8
chb22,False,1,T8-P8
chb23,False,1,T8-P8
chb24,False,1,T8-P8
