threshold,precision,recall,f1,tp,fp,fn,tn
0.05,0.5065339141257,0.3037313432835821,0.37975274084441335,814,793,1866,7247
0.1,0.5634328358208955,0.2253731343283582,0.32196162046908317,604,468,2076,7572
0.15000000000000002,0.5766081871345029,0.183955223880597,0.2789250353606789,493,362,2187,7678
0.2,0.599721059972106,0.16044776119402984,0.25316455696202533,430,287,2250,7753
0.25,0.6189683860232945,0.13880597014925372,0.22676013410545565,372,229,2308,7811
0.3,0.6335282651072125,0.12126865671641791,0.20357031005324147,325,188,2355,7852
0.35000000000000003,0.6545454545454545,0.10746268656716418,0.18461538461538463,288,152,2392,7888
0.4,0.6933333333333334,0.09701492537313433,0.1702127659574468,260,115,2420,7925
0.45,0.717391304347826,0.08619402985074627,0.15389740173217856,231,91,2449,7949
0.5,0.7224199288256228,0.07574626865671642,0.13711583924349882,203,78,2477,7962
0.55,0.7446808510638298,0.06529850746268656,0.12006861063464837,175,60,2505,7980
0.6000000000000001,0.7669902912621359,0.05895522388059701,0.1094941094941095,158,48,2522,7992
0.6500000000000001,0.7745664739884393,0.05,0.09393620750087626,134,39,2546,8001
0.7000000000000001,0.8181818181818182,0.04365671641791045,0.08289054197662062,117,26,2563,8014
0.7500000000000001,0.8373983739837398,0.038432835820895524,0.07349268640742063,103,20,2577,8020
0.8,0.8349514563106796,0.03208955223880597,0.06180380883938196,86,17,2594,8023
0.8500000000000001,0.8767123287671232,0.023880597014925373,0.04649473301852525,64,9,2616,8031
0.9000000000000001,0.8679245283018868,0.017164179104477612,0.033662641785583605,46,7,2634,8033
